wavelength_nm,responsivity_mA_per_W
229.8233,1.2114
231.0835,1.2887
231.8637,1.3989
232.1863,1.5166
234.002,1.6299
234.0767,1.7619
235.8924,1.8911
236.3046,2.0654
237.496,2.2435
238.8215,2.3868
239.6732,2.5313
240.0854,2.7608
241.5636,3.0178
242.721,3.2325
243.1672,3.4448
244.3163,3.7107
245.3444,4.0793
246.6205,4.2741
246.8368,4.5398
247.273,4.8911
249.0608,5.3246
249.74,5.6515
250.7288,6.053
252.0797,6.4213
252.9059,6.8426
254.4194,7.238
254.7963,7.7525
257.539,8.2898
258.5771,8.7902
260.6586,9.2698
262.2119,9.8628
267.496,10.6501
271.9678,11.5397
278.3432,12.2375
285.2747,12.8722
292.2061,13.5397
299.1375,14.2357
306.0689,14.5265
313.0004,15.0731
319.9318,15.6127
326.8632,16.1716
333.7946,16.8392
340.7261,17.5343
347.558,18.325
354.5889,19.0118
361.5203,19.8195
368.4517,20.6137
375.3832,21.6257
382.1646,22.7311
388.4832,24.234
394.287,26.3107
397.9203,27.4457
400.3562,29.1382
406.3995,31.1134
411.4975,33.8342
416.7197,36.2628
421.3085,39.1562
427.1938,41.2547
432.5849,44.6938
438.5361,47.6196
443.6341,51.2233
449.1083,55.0257
455.063,59.236
461.1228,61.8381
464.9913,64.4702
468.1109,66.5616
473.5702,68.7208
479.8094,69.8266
486.8284,70.9501
492.2877,72.0918
499.3086,72.8904
507.0061,73.1388
513.3815,73.0002
519.7248,73.8842
527.2443,74.9077
534.1758,74.9077
541.1072,74.9077
548.0386,74.9077
554.97,74.9077
561.9015,74.9077
568.7175,75.0268
577.2964,75.0268
587.435,75.628
594.4541,76.2341
601.4731,76.2341
608.4922,76.2341
616.2912,76.8449
624.0901,76.8449
630.7794,77.2472
636.5685,77.4607
643.5875,77.4607
652.1664,77.4607
658.4055,77.4607
664.6447,76.8449
672.4437,76.2341
679.1796,74.5675
687.0007,73.4725
694.1386,72.6647
700.2464,70.5815
707.3213,68.9088
714.2933,67.2212
721.0406,65.7059
728.4306,63.3676
734.9507,61.9312
741.0745,60.4824
747.0195,59.0284
753.9914,57.5827
760.7388,56.3665
767.8137,54.6328
775.0842,52.9703
782.2146,51.1419
788.8881,49.8988
795.1993,48.1379
801.3926,47.0853
806.8817,44.7659
812.833,43.3455
818.2241,41.3212
824.1253,39.9917
827.643,38.0706
831.5425,36.5812
832.9683,34.8403
835.4419,33.2402
836.7491,31.5454
840.1213,30.2043
840.5298,28.9417
843.2409,27.4457
844.3106,26.1243
846.3605,24.5442
848.0914,23.2613
849.8706,21.202
851.6259,19.4002
854.0493,17.445
855.6993,15.7914
857.7022,14.3741
858.7824,13.0308
860.6569,11.7451
862.5632,9.7621
862.667,10.7057
863.5013,8.7812
865.3273,7.8342
865.8579,8.2898
867.4177,7.4134
868.9775,6.8447
869.7574,6.3703
870.3813,5.9925
871.3172,5.6066
871.7282,5.3204
874.1936,4.84
874.4456,4.3778
875.9965,4.0098
876.2415,3.7188
877.5563,3.501
877.9428,3.2537
879.1161,3.0568
879.896,2.7776
879.896,2.9139
880.228,2.6181
881.4558,2.4642
881.7848,2.3127
883.5195,2.1421
883.8976,1.9736
883.8976,1.8401
885.7879,1.5624
885.9455,1.6851
887.1382,1.3356
887.3003,1.4446
889.0286,1.1292
889.4112,1.2279
889.9667,1.0069
890.0347,1.0659
891.8954,0.9186
893.0659,0.8158
893.1542,0.8662
894.6998,0.6739
895.0824,0.7318
896.5902,0.5794
897.2878,0.6289
898.7371,0.5183
900.533,0.4719
901.7331,0.4257
902.513,0.3931
902.9009,0.3499
903.2929,0.3687
904.8494,0.3214
906.4125,0.2949
907.9325,0.2473
908.3272,0.2731
910.0794,0.2222
911.8718,0.2059
912.6516,0.1932
913.4315,0.1827
913.8602,0.1697
915.7506,0.1482
915.7712,0.1582
917.0521,0.1333
919.2748,0.1106
919.5629,0.1215
921.4218,0.0984
923.5702,0.0884
923.5957,0.0817
926.0262,0.0755
926.6898,0.0695
927.7745,0.0644
929.0295,0.0593
